First Name,Last Name,Age,DOB,Mobile,Email,MatricNo
Jesse,Owens,21,5/28/1999,08028341247,jesse0@gmail.com,2014/3690
Silas,Kunle,27,5/29/1993,08028342241,silas0@gmail.com,2014/3691
Emma,Owo,22,5/30/1998,08077821234,emms0@gmail.com,2014/3692
Ted,Stones,24,5/31/1996,08099301276,ted0@gmail.com,2014/3693
Ruben,Vers,24,6/1/1996,07045690324,ruben0@gmail.com,2014/3694
Joe,Glass,18,6/2/2002,08199037621,jesse0@gmail.com,2014/3695
Ade,Stevens,20,6/3/2000,09034569032,ade0@gmail.com,2014/3696
Bill,Youri,23,6/4/1997,09017842238,bill0@gmail.com,2014/3697
Tim,Cook,24,6/5/1996,07022439032,tim0@gmail.com,2014/3698
Rhys,Williams,19,6/5/2001,08028124509,rhys0@gmail.com,2014/3699
Nat,Phillips,18,6/7/2002,08056321674,nat0@gmail.com,2014/3700
Curtis ,Jones,21,6/8/1999,09033167231,curtis0@gmail.com,2014/3701
